context,distance,strategy,overlap_with_golddigger,fit_mean,fit_min,below_floor,novelty_mean,redundancy,role_dup
4a43447c8188:0,50,nearest,0.0,0.5594085458390772,0.5022232091812436,0.0,0.0020642201834862386,0.9631904363632202,nan
4a43447c8188:0,50,inverse,0.3333333333333333,0.5993529774389847,0.5859441365964523,0.0,0.49977064220183487,0.3283514678478241,nan
4a43447c8188:0,50,band_nofit,1.0,0.5964045432405164,0.5836786373739794,0.0,0.49827981651376146,0.2465822696685791,nan
4a43447c8188:0,50,golddigger,1.0,0.5964045432405164,0.5836786373739794,0.0,0.49827981651376146,0.2465822696685791,nan
4a43447c8188:0,70,random,0.0,0.5887426893943247,0.5528083951676656,0.0,0.34925458715596336,0.4234265387058258,nan
4a43447c8188:0,70,metadata,0.0,0.6560732644296439,0.6520188988012124,0.0,0.010321100917431193,0.8171623945236206,nan
4a43447c8188:0,70,nearest,0.0,0.5594085458390772,0.5022232091812436,0.0,0.0020642201834862386,0.9631904363632202,nan
4a43447c8188:0,70,inverse,0.14285714285714285,0.5973077008300636,0.5742701004998397,0.0,0.6997706422018348,0.49375206232070923,nan
4a43447c8188:0,70,band_nofit,1.0,0.5972339888655565,0.5742701004998397,0.0,0.7003440366972478,0.2705290615558624,nan
4a43447c8188:0,70,golddigger,1.0,0.5972339888655565,0.5742701004998397,0.0,0.7003440366972478,0.2705290615558624,nan
4a43447c8188:0,90,random,0.0,0.5887426893943247,0.5528083951676656,0.0,0.34925458715596336,0.4234265387058258,nan
4a43447c8188:0,90,metadata,0.0,0.6560732644296439,0.6520188988012124,0.0,0.010321100917431193,0.8171623945236206,nan
4a43447c8188:0,90,nearest,0.0,0.5594085458390772,0.5022232091812436,0.0,0.0020642201834862386,0.9631904363632202,nan
4a43447c8188:0,90,inverse,0.23076923076923078,0.6005100031185253,0.5976801654317417,0.0,0.899770642201835,0.5040318369865417,nan
4a43447c8188:0,90,band_nofit,1.0,0.6048749871692223,0.595012765011372,0.0,0.9011467889908258,0.3615703880786896,nan
4a43447c8188:0,90,golddigger,1.0,0.6048749871692223,0.595012765011372,0.0,0.9011467889908258,0.3615703880786896,nan
f0fcbc226851:0,10,random,0.0,0.6483057439906035,0.4395091208380715,0.125,0.5297591743119267,0.39049404859542847,0.125
f0fcbc226851:0,10,metadata,0.0,0.7431668702930152,0.7414440273080961,0.0,0.28532110091743124,0.5085602402687073,0.0
f0fcbc226851:0,10,nearest,0.0,0.446831211977054,0.43763466204425683,0.875,0.0020642201834862386,0.8687504529953003,1.0
f0fcbc226851:0,10,inverse,0.23076923076923078,0.48472419745843426,0.43339524506323995,0.5,0.10022935779816514,0.5669088363647461,0.75
f0fcbc226851:0,10,band_nofit,0.23076923076923078,0.5473630081867712,0.4418490561224079,0.5,0.10189220183486239,0.3848019242286682,0.5
f0fcbc226851:0,10,golddigger,1.0,0.6201034259577277,0.45588256429193125,0.0,0.1,0.3976389765739441,0.125
f0fcbc226851:0,30,random,0.0,0.6483057439906035,0.4395091208380715,0.125,0.5297591743119267,0.39049404859542847,0.125
f0fcbc226851:0,30,metadata,0.0,0.7431668702930152,0.7414440273080961,0.0,0.28532110091743124,0.5085602402687073,0.0
f0fcbc226851:0,30,nearest,0.0,0.446831211977054,0.43763466204425683,0.875,0.0020642201834862386,0.8687504529953003,1.0
f0fcbc226851:0,30,inverse,0.14285714285714285,0.46890290262821177,0.441094978036961,0.5,0.2997706422018349,0.5113357305526733,0.875
f0fcbc226851:0,30,band_nofit,0.3333333333333333,0.5597300947892467,0.441094978036961,0.375,0.3013188073394496,0.2890160381793976,0.5
f0fcbc226851:0,30,golddigger,1.0,0.6392682066746458,0.45089312694434036,0.0,0.29845183486238536,0.31471511721611023,0.125
